first_name,last_name,email,phone_number,date_of_birth,date_of_joining,salary,department,position
Daniel,Taylor,daniel.taylor@example.com,0433218196,1999-03-14,2023-06-04,142278.32,HR,Analyst
Ethan,Brown,ethan.brown@example.com,3890838637,1999-09-27,2018-01-13,98549.2,Marketing,Executive
Sophia,Martinez,sophia.martinez@example.com,6542351161,1980-03-11,2015-04-30,85565.84,Finance,Developer
Ethan,Martinez,ethan.martinez@example.com,0781618495,1982-11-19,2015-06-17,34513.67,Support,Analyst
Mia,Brown,mia.brown@example.com,3413164752,1996-07-23,2019-02-22,45339.72,Support,Consultant
Ava,Moore,ava.moore@example.com,1928327648,1994-11-12,2018-09-29,90973.25,HR,Executive
Mason,Brown,mason.brown@example.com,0564139537,1970-05-08,2021-08-24,58227.95,Finance,Assistant
Mason,Anderson,mason.anderson@example.com,2388496965,1968-07-13,2021-01-08,147839.1,Finance,Manager
Sophia,Wilson,sophia.wilson@example.com,1012269166,1988-10-28,2018-12-20,126394.86,Marketing,Developer
Ava,Martinez,ava.martinez@example.com,8018451462,2000-11-15,2018-05-18,119828.28,Sales,Manager
Lily,Brown,lily.brown@example.com,8148932528,1969-08-23,2024-08-22,52673.56,Support,Analyst
Emma,Moore,emma.moore@example.com,7015430391,1968-10-09,2016-11-20,65475.24,HR,Consultant
Logan,Taylor,logan.taylor@example.com,2782489638,2000-02-12,2024-07-03,97261.76,Sales,Assistant
Mason,Hernandez,mason.hernandez@example.com,7871331509,1981-05-30,2017-11-12,144619.82,Marketing,Executive
Ava,Hernandez,ava.hernandez@example.com,0103105183,1965-06-12,2021-09-07,87494.81,Sales,Assistant
Lily,Taylor,lily.taylor@example.com,9973763116,1976-06-14,2021-10-11,67741.4,Marketing,Consultant
Lily,Jackson,lily.jackson@example.com,0106513338,1975-05-14,2016-08-10,39667.76,Marketing,Assistant
Daniel,Anderson,daniel.anderson@example.com,4731781080,1984-02-19,2017-02-20,113240.58,Engineering,Consultant
Ethan,Davis,ethan.davis@example.com,7736026064,1992-04-19,2021-12-04,88609.78,HR,Consultant
Lily,Hernandez,lily.hernandez@example.com,2343098050,1964-11-13,2021-03-01,75824.9,Support,Analyst
Sophia,Brown,sophia.brown@example.com,0812191361,1965-08-05,2022-08-24,68754.5,Finance,Consultant
Mia,Moore,mia.moore@example.com,9169985435,1989-02-13,2021-10-25,46195.44,Support,Consultant
Sophia,Moore,sophia.moore@example.com,4751079911,1966-03-26,2018-11-09,145005.3,Engineering,Consultant
